A,B,C,D,E,F,G,H,I,J,K
16.74.2.1,16.74.2.29,16.74.2.30,,,,,,,,
16.74.3.1,16.74.3.29,16.74.3.30,,,,,,,,
16.74.4.1,16.74.4.29,16.74.4.30,,,,,,,,
16.74.5.1,16.74.5.29,16.74.5.30,,,,,,,,
16.74.6.1,16.74.6.29,16.74.6.30,,,,,,,,
16.74.7.1,16.74.7.29,16.74.7.30,,,,,,,,
16.74.8.1,16.74.8.29,16.74.8.30,,,,,,,,
16.74.9.1,16.74.9.29,16.74.9.30,,,,,,,,
16.74.10.1,16.74.10.29,16.74.10.30,,,,,,,,
16.74.11.1,16.74.11.29,16.74.11.30,,,,,,,,
16.74.12.1,16.74.12.29,16.74.12.30,,,,,,,,
16.74.13.1,16.74.13.29,16.74.13.30,,,,,,,,
16.74.14.1,16.74.14.29,16.74.14.30,,,,,,,,
16.74.15.1,16.74.15.29,16.74.15.30,,,,,,,,
16.74.16.1,16.74.16.29,16.74.16.30,,,,,,,,
16.74.17.1,16.74.17.29,16.74.17.30,,,,,,,,
16.74.18.1,16.74.18.29,16.74.18.30,,,,,,,,
16.74.19.1,16.74.19.29,16.74.19.30,,,,,,,,
16.74.20.1,16.74.20.29,16.74.20.30,,,,,,,,
16.74.21.1,16.74.21.29,16.74.21.30,,,,,,,,
16.74.22.1,16.74.22.29,16.74.22.30,,,,,,,,
16.74.23.1,16.74.23.29,16.74.23.30,,,,,,,,
16.74.24.1,16.74.24.29,16.74.24.30,,,,,,,,
16.74.25.1,16.74.25.29,16.74.25.30,,,,,,,,
16.74.26.1,16.74.26.29,16.74.26.30,,,,,,,,
16.74.27.1,16.74.27.29,16.74.27.30,,,,,,,,
16.74.28.1,16.74.28.29,16.74.28.30,,,,,,,,
16.74.29.1,16.74.29.29,16.74.29.30,,,,,,,,
16.74.30.1,16.74.30.29,16.74.30.30,,,,,,,,
16.74.31.1,16.74.31.29,16.74.31.30,,,,,,,,
16.74.32.1,16.74.32.29,16.74.32.30,,,,,,,,
16.74.33.1,16.74.33.29,16.74.33.30,,,,,,,,
16.74.34.1,16.74.34.29,16.74.34.30,,,,,,,,
16.74.35.1,16.74.35.29,16.74.35.30,,,,,,,,
16.74.36.1,16.74.36.29,16.74.36.30,,,,,,,,
16.74.37.1,16.74.37.29,16.74.37.30,,,,,,,,
16.74.38.1,16.74.38.29,16.74.38.30,,,,,,,,
16.74.39.1,16.74.39.29,16.74.39.30,,,,,,,,
16.74.40.1,16.74.40.29,16.74.40.30,,,,,,,,
16.74.41.1,16.74.41.29,16.74.41.30,,,,,,,,
16.74.42.1,16.74.42.29,16.74.42.30,,,,,,,,
16.74.43.1,16.74.43.29,16.74.43.30,,,,,,,,
16.74.2.33,16.74.2.61,16.74.2.62,,,,,,,,
16.74.3.33,16.74.3.61,16.74.3.62,,,,,,,,
16.74.4.33,16.74.4.61,16.74.4.62,,,,,,,,
16.74.5.33,16.74.5.61,16.74.5.62,,,,,,,,
16.74.6.33,16.74.6.61,16.74.6.62,,,,,,,,
16.74.7.33,16.74.7.61,16.74.7.62,,,,,,,,
16.74.8.33,16.74.8.61,16.74.8.62,,,,,,,,
16.74.9.33,16.74.9.61,16.74.9.62,,,,,,,,
16.74.10.33,16.74.10.61,16.74.10.62,,,,,,,,
16.74.11.33,16.74.11.61,16.74.11.62,,,,,,,,
16.74.12.33,16.74.12.61,16.74.12.62,,,,,,,,
16.74.13.33,16.74.13.61,16.74.13.62,,,,,,,,
16.74.14.33,16.74.14.61,16.74.14.62,,,,,,,,
16.74.15.33,16.74.15.61,16.74.15.62,,,,,,,,
16.74.16.33,16.74.16.61,16.74.16.62,,,,,,,,
16.74.17.33,16.74.17.61,16.74.17.62,,,,,,,,
16.74.18.33,16.74.18.61,16.74.18.62,,,,,,,,
16.74.19.33,16.74.19.61,16.74.19.62,,,,,,,,
16.74.20.33,16.74.20.61,16.74.20.62,,,,,,,,
16.74.21.33,16.74.21.61,16.74.21.62,,,,,,,,
16.74.22.33,16.74.22.61,16.74.22.62,,,,,,,,
16.74.23.33,16.74.23.61,16.74.23.62,,,,,,,,
16.74.24.33,16.74.24.61,16.74.24.62,,,,,,,,
16.74.25.33,16.74.25.61,16.74.25.62,,,,,,,,
16.74.26.33,16.74.26.61,16.74.26.62,,,,,,,,
16.74.27.33,16.74.27.61,16.74.27.62,,,,,,,,
16.74.28.33,16.74.28.61,16.74.28.62,,,,,,,,
16.74.29.33,16.74.29.61,16.74.29.62,,,,,,,,
16.74.30.33,16.74.30.61,16.74.30.62,,,,,,,,
16.74.31.33,16.74.31.61,16.74.31.62,,,,,,,,
16.74.32.33,16.74.32.61,16.74.32.62,,,,,,,,
16.74.33.33,16.74.33.61,16.74.33.62,,,,,,,,
16.74.34.33,16.74.34.61,16.74.34.62,,,,,,,,
16.74.35.33,16.74.35.61,16.74.35.62,,,,,,,,
16.74.36.33,16.74.36.61,16.74.36.62,,,,,,,,
16.74.37.33,16.74.37.61,16.74.37.62,,,,,,,,
16.74.38.33,16.74.38.61,16.74.38.62,,,,,,,,
16.74.39.33,16.74.39.61,16.74.39.62,,,,,,,,
16.74.40.33,16.74.40.61,16.74.40.62,,,,,,,,
16.74.41.33,16.74.41.61,16.74.41.62,,,,,,,,
16.74.42.33,16.74.42.61,16.74.42.62,,,,,,,,
16.74.43.33,16.74.43.61,16.74.43.62,0.0.0.0,,,,,,,
192.168.1.2,192.168.1.254,192.168.1.1,223.5.5.5,223.6.6.6,,,,,
192.168.9.2,192.168.9.254,192.168.9.1,223.5.5.5,223.6.6.6,,,,,
172.20.10.2,172.20.10.255,172.20.10.1,223.5.5.5,223.6.6.6,,,,,
